base classifier,micro precision,micro recall,macro precision,macro recall
RF,0.6543837357052097,0.48447789275634995,0.3429584302605738,0.2536136998694378
MLP,0.6246276067527309,0.5917215428033866,0.5413465801719826,0.4431241999563842
logistic,0.7012835472578763,0.5653809971777987,0.621008875674905,0.36787527705261014
