base classifier,micro precision,micro recall,macro precision,macro recall
RF,0.6443298969072165,0.4703668861712135,0.44439233253667865,0.24337788314502623
MLP,0.6469221835075494,0.5239887111947319,0.531741262148096,0.35466659557917196
logistic,0.6635182998819362,0.528692380056444,0.49219503830515193,0.2863990633713799
