base classifier,micro precision,micro recall,macro precision,macro recall
RF,0.6631716906946264,0.4760112888052681,0.3645313693775578,0.2468835564165206
MLP,0.6418764302059496,0.5277516462841016,0.5163587175329328,0.3676587369619262
logistic,0.6858457997698504,0.5606773283160865,0.552389306253006,0.3771479092391236
