,clf,metric,value,section_split,model,train_type,section_pooling,optimized_section,patient_pooling
0,RF,micro precision,0.6508563899868248,semantic,ClinicalBERT,finetuned,mean,True,pca
1,RF,micro recall,0.464722483537159,semantic,ClinicalBERT,finetuned,mean,True,pca
2,RF,macro precision,0.4040394749848442,semantic,ClinicalBERT,finetuned,mean,True,pca
3,RF,macro recall,0.2430071453342905,semantic,ClinicalBERT,finetuned,mean,True,pca
4,MLP,micro precision,0.5729783037475346,semantic,ClinicalBERT,finetuned,mean,True,pca
5,MLP,micro recall,0.5465663217309501,semantic,ClinicalBERT,finetuned,mean,True,pca
6,MLP,macro precision,0.4467743379167617,semantic,ClinicalBERT,finetuned,mean,True,pca
7,MLP,macro recall,0.4032535715704696,semantic,ClinicalBERT,finetuned,mean,True,pca
8,logistic,micro precision,0.6572077185017026,semantic,ClinicalBERT,finetuned,mean,True,pca
9,logistic,micro recall,0.5446848541862653,semantic,ClinicalBERT,finetuned,mean,True,pca
10,logistic,macro precision,0.4979871689232857,semantic,ClinicalBERT,finetuned,mean,True,pca
11,logistic,macro recall,0.3542740760238358,semantic,ClinicalBERT,finetuned,mean,True,pca
0,RF,micro precision,0.6550335570469799,semantic,ClinicalBERT,finetuned,mean,False,mean
1,RF,micro recall,0.4590780809031044,semantic,ClinicalBERT,finetuned,mean,False,mean
2,RF,macro precision,0.4265108993631289,semantic,ClinicalBERT,finetuned,mean,False,mean
3,RF,macro recall,0.2377397154011414,semantic,ClinicalBERT,finetuned,mean,False,mean
4,MLP,micro precision,0.6840796019900498,semantic,ClinicalBERT,finetuned,mean,False,mean
5,MLP,micro recall,0.5174035747883349,semantic,ClinicalBERT,finetuned,mean,False,mean
6,MLP,macro precision,0.5313983037046635,semantic,ClinicalBERT,finetuned,mean,False,mean
7,MLP,macro recall,0.3492691780184672,semantic,ClinicalBERT,finetuned,mean,False,mean
8,logistic,micro precision,0.6948529411764706,semantic,ClinicalBERT,finetuned,mean,False,mean
9,logistic,micro recall,0.5333960489181562,semantic,ClinicalBERT,finetuned,mean,False,mean
10,logistic,macro precision,0.4763682085574832,semantic,ClinicalBERT,finetuned,mean,False,mean
11,logistic,macro recall,0.2914303187698495,semantic,ClinicalBERT,finetuned,mean,False,mean
0,RF,micro precision,0.671484888304862,semantic,ClinicalBERT,finetuned,mean,False,pca
1,RF,micro recall,0.4807149576669802,semantic,ClinicalBERT,finetuned,mean,False,pca
2,RF,macro precision,0.4398428262558698,semantic,ClinicalBERT,finetuned,mean,False,pca
3,RF,macro recall,0.2500979814440137,semantic,ClinicalBERT,finetuned,mean,False,pca
4,MLP,micro precision,0.6485097636176773,semantic,ClinicalBERT,finetuned,mean,False,pca
5,MLP,micro recall,0.5936030103480715,semantic,ClinicalBERT,finetuned,mean,False,pca
6,MLP,macro precision,0.5628535267187966,semantic,ClinicalBERT,finetuned,mean,False,pca
7,MLP,macro recall,0.4057973631912477,semantic,ClinicalBERT,finetuned,mean,False,pca
8,logistic,micro precision,0.6858457997698504,semantic,ClinicalBERT,finetuned,mean,False,pca
9,logistic,micro recall,0.5606773283160865,semantic,ClinicalBERT,finetuned,mean,False,pca
10,logistic,macro precision,0.552389306253006,semantic,ClinicalBERT,finetuned,mean,False,pca
11,logistic,macro recall,0.3771479092391236,semantic,ClinicalBERT,finetuned,mean,False,pca
0,RF,micro precision,0.6432225063938619,semantic,ClinicalBERT,pretrained,cls,True,mean
1,RF,micro recall,0.4731890874882408,semantic,ClinicalBERT,pretrained,cls,True,mean
2,RF,macro precision,0.3003016656166612,semantic,ClinicalBERT,pretrained,cls,True,mean
3,RF,macro recall,0.2413145032722236,semantic,ClinicalBERT,pretrained,cls,True,mean
4,MLP,micro precision,0.5855670103092784,semantic,ClinicalBERT,pretrained,cls,True,mean
5,MLP,micro recall,0.5343367826904986,semantic,ClinicalBERT,pretrained,cls,True,mean
6,MLP,macro precision,0.4170456052985997,semantic,ClinicalBERT,pretrained,cls,True,mean
7,MLP,macro recall,0.3700465497261625,semantic,ClinicalBERT,pretrained,cls,True,mean
8,logistic,micro precision,0.6555423122765197,semantic,ClinicalBERT,pretrained,cls,True,mean
9,logistic,micro recall,0.5174035747883349,semantic,ClinicalBERT,pretrained,cls,True,mean
10,logistic,macro precision,0.386916775584367,semantic,ClinicalBERT,pretrained,cls,True,mean
11,logistic,macro recall,0.2812540491148,semantic,ClinicalBERT,pretrained,cls,True,mean
0,RF,micro precision,0.6211340206185567,semantic,ClinicalBERT,pretrained,cls,True,pca
1,RF,micro recall,0.4534336782690498,semantic,ClinicalBERT,pretrained,cls,True,pca
2,RF,macro precision,0.3223269940954339,semantic,ClinicalBERT,pretrained,cls,True,pca
3,RF,macro recall,0.2330305058065127,semantic,ClinicalBERT,pretrained,cls,True,pca
4,MLP,micro precision,0.5925176946410515,semantic,ClinicalBERT,pretrained,cls,True,pca
5,MLP,micro recall,0.5512699905926622,semantic,ClinicalBERT,pretrained,cls,True,pca
6,MLP,macro precision,0.4638247960645565,semantic,ClinicalBERT,pretrained,cls,True,pca
7,MLP,macro recall,0.3570666424011619,semantic,ClinicalBERT,pretrained,cls,True,pca
8,logistic,micro precision,0.6224944320712695,semantic,ClinicalBERT,pretrained,cls,True,pca
9,logistic,micro recall,0.5258701787394168,semantic,ClinicalBERT,pretrained,cls,True,pca
10,logistic,macro precision,0.4955314784115624,semantic,ClinicalBERT,pretrained,cls,True,pca
11,logistic,macro recall,0.3436809667710606,semantic,ClinicalBERT,pretrained,cls,True,pca
0,RF,micro precision,0.6304062909567497,semantic,ClinicalBERT,pretrained,cls,False,mean
1,RF,micro recall,0.4524929444967074,semantic,ClinicalBERT,pretrained,cls,False,mean
2,RF,macro precision,0.3593262945363042,semantic,ClinicalBERT,pretrained,cls,False,mean
3,RF,macro recall,0.2315037210326184,semantic,ClinicalBERT,pretrained,cls,False,mean
4,MLP,micro precision,0.6048034934497817,semantic,ClinicalBERT,pretrained,cls,False,mean
5,MLP,micro recall,0.5211665098777046,semantic,ClinicalBERT,pretrained,cls,False,mean
6,MLP,macro precision,0.4853002499403788,semantic,ClinicalBERT,pretrained,cls,False,mean
7,MLP,macro recall,0.3766366173329412,semantic,ClinicalBERT,pretrained,cls,False,mean
8,logistic,micro precision,0.6658795749704841,semantic,ClinicalBERT,pretrained,cls,False,mean
9,logistic,micro recall,0.5305738476011289,semantic,ClinicalBERT,pretrained,cls,False,mean
10,logistic,macro precision,0.4308974851902484,semantic,ClinicalBERT,pretrained,cls,False,mean
11,logistic,macro recall,0.2939826017211161,semantic,ClinicalBERT,pretrained,cls,False,mean
0,RF,micro precision,0.6343949044585987,semantic,ClinicalBERT,pretrained,cls,False,pca
1,RF,micro recall,0.4684854186265287,semantic,ClinicalBERT,pretrained,cls,False,pca
2,RF,macro precision,0.3573329951228513,semantic,ClinicalBERT,pretrained,cls,False,pca
3,RF,macro recall,0.2426489465912046,semantic,ClinicalBERT,pretrained,cls,False,pca
4,MLP,micro precision,0.6167355371900827,semantic,ClinicalBERT,pretrained,cls,False,pca
5,MLP,micro recall,0.561618062088429,semantic,ClinicalBERT,pretrained,cls,False,pca
6,MLP,macro precision,0.4648009014431038,semantic,ClinicalBERT,pretrained,cls,False,pca
7,MLP,macro recall,0.3793285521792718,semantic,ClinicalBERT,pretrained,cls,False,pca
8,logistic,micro precision,0.6493212669683258,semantic,ClinicalBERT,pretrained,cls,False,pca
9,logistic,micro recall,0.5399811853245532,semantic,ClinicalBERT,pretrained,cls,False,pca
10,logistic,macro precision,0.5016726501000378,semantic,ClinicalBERT,pretrained,cls,False,pca
11,logistic,macro recall,0.3596440137426436,semantic,ClinicalBERT,pretrained,cls,False,pca
0,RF,micro precision,0.6552631578947369,semantic,ClinicalBERT,pretrained,mean,True,mean
1,RF,micro recall,0.4684854186265287,semantic,ClinicalBERT,pretrained,mean,True,mean
2,RF,macro precision,0.3667473941228323,semantic,ClinicalBERT,pretrained,mean,True,mean
3,RF,macro recall,0.2472214559876745,semantic,ClinicalBERT,pretrained,mean,True,mean
4,MLP,micro precision,0.633221850613155,semantic,ClinicalBERT,pretrained,mean,True,mean
5,MLP,micro recall,0.5343367826904986,semantic,ClinicalBERT,pretrained,mean,True,mean
6,MLP,macro precision,0.4705428361837817,semantic,ClinicalBERT,pretrained,mean,True,mean
7,MLP,macro recall,0.3731648238399674,semantic,ClinicalBERT,pretrained,mean,True,mean
8,logistic,micro precision,0.6792682926829269,semantic,ClinicalBERT,pretrained,mean,True,mean
9,logistic,micro recall,0.5239887111947319,semantic,ClinicalBERT,pretrained,mean,True,mean
10,logistic,macro precision,0.4257261646084148,semantic,ClinicalBERT,pretrained,mean,True,mean
11,logistic,macro recall,0.283314905993117,semantic,ClinicalBERT,pretrained,mean,True,mean
0,RF,micro precision,0.6609724047306176,semantic,ClinicalBERT,pretrained,mean,True,pca
1,RF,micro recall,0.4731890874882408,semantic,ClinicalBERT,pretrained,mean,True,pca
2,RF,macro precision,0.4754233952060189,semantic,ClinicalBERT,pretrained,mean,True,pca
3,RF,macro recall,0.2505883646354421,semantic,ClinicalBERT,pretrained,mean,True,pca
4,MLP,micro precision,0.6166328600405679,semantic,ClinicalBERT,pretrained,mean,True,pca
5,MLP,micro recall,0.5719661335841957,semantic,ClinicalBERT,pretrained,mean,True,pca
6,MLP,macro precision,0.496089284769224,semantic,ClinicalBERT,pretrained,mean,True,pca
7,MLP,macro recall,0.4028117006403041,semantic,ClinicalBERT,pretrained,mean,True,pca
8,logistic,micro precision,0.660377358490566,semantic,ClinicalBERT,pretrained,mean,True,pca
